class,type,name,showif,value,label,optional,,
mc_vertical answer_below_label,mc comuna_7,comuna_P13_7,region_P13==7,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_8,comuna_P13_8,region_P13==8,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_9,comuna_P13_9,region_P13==9,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_10,comuna_P13_10,region_P13==10,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_11,comuna_P13_11,region_P13==11,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_12,comuna_P13_12,region_P13==12,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_13,comuna_P13_13,region_P13==13,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_14,comuna_P13_14,region_P13==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P13_15,region_P13==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P13_16,region_P13==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P13,count_SN12 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P13_esp,vinculo_P13 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P13,count_SN12 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P13,count_SN12 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P13_esp,"cuidado_P13==7| cuidado_P13 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P13,count_SN12 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P13,count_SN12 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
,submit,persona14,,,Siguiente,,,
counter space_bottom_60,"number 1,21",count_SN13,count_SN12 > 1,1,¿Quiere añadir otra persona?,,,
,note,p14,count_SN13 > 1,,**Persona 14**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P14,count_SN13 > 1,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P14,count_SN13 > 1,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P14,count_SN13 > 1,,¿Cuál es la edad en años cumplidos de esta persona?,,,
mc_vertical answer_below_label,select_one educacion,educ_P14,count_SN13 > 1,,¿Cuál es el nivel educativo más alto alcanzado por esta persona?,,,
mc_vertical answer_below_label,select_one pais,pais_P14,count_SN13 > 1,,¿En qué país nació?,,,
mc_vertical answer_below_label,select_one region,region_P14,count_SN13 > 1,,¿En qué región reside?,,,
mc_vertical answer_below_label,mc comuna_1,comuna_P14_1,region_P14==1,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_2,comuna_P14_2,region_P14==2,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_3,comuna_P14_3,region_P14==3,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_4,comuna_P14_4,region_P14==4,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_5,comuna_P14_5,region_P14==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P14_6,region_P14==6,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_7,comuna_P14_7,region_P14==7,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_8,comuna_P14_8,region_P14==8,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_9,comuna_P14_9,region_P14==9,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_10,comuna_P14_10,region_P14==10,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_11,comuna_P14_11,region_P14==11,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_12,comuna_P14_12,region_P14==12,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_13,comuna_P14_13,region_P14==13,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_14,comuna_P14_14,region_P14==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P14_15,region_P14==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P14_16,region_P14==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P14,count_SN13 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P14_esp,vinculo_P14 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P14,count_SN13 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P14,count_SN13 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P14_esp,"cuidado_P14==7| cuidado_P14 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P14,count_SN13 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P14,count_SN13 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
,submit,persona15,,,Siguiente,,,
counter space_bottom_60,"number 1,21",count_SN14,count_SN13 > 1,1,¿Quiere añadir otra persona?,,,
,note,p15,count_SN14 > 1,,**Persona 15**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P15,count_SN14 > 1,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P15,count_SN14 > 1,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P15,count_SN14 > 1,,¿Cuál es la edad en años cumplidos de esta persona?,,,
mc_vertical answer_below_label,select_one educacion,educ_P15,count_SN14 > 1,,¿Cuál es el nivel educativo más alto alcanzado por esta persona?,,,
mc_vertical answer_below_label,select_one pais,pais_P15,count_SN14 > 1,,¿En qué país nació?,,,
mc_vertical answer_below_label,select_one region,region_P15,count_SN14 > 1,,¿En qué región reside?,,,
mc_vertical answer_below_label,mc comuna_1,comuna_P15_1,region_P15==1,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_2,comuna_P15_2,region_P15==2,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_3,comuna_P15_3,region_P15==3,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_4,comuna_P15_4,region_P15==4,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_5,comuna_P15_5,region_P15==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P15_6,region_P15==6,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_7,comuna_P15_7,region_P15==7,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_8,comuna_P15_8,region_P15==8,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_9,comuna_P15_9,region_P15==9,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_10,comuna_P15_10,region_P15==10,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_11,comuna_P15_11,region_P15==11,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_12,comuna_P15_12,region_P15==12,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_13,comuna_P15_13,region_P15==13,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_14,comuna_P15_14,region_P15==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P15_15,region_P15==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P15_16,region_P15==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P15,count_SN14 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P15_esp,vinculo_P15 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P15,count_SN14 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P15,count_SN14 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P15_esp,"cuidado_P15==7| cuidado_P15 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P15,count_SN14 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P15,count_SN14 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
,submit,persona16,,,Siguiente,,,
counter space_bottom_60,"number 1,21",count_SN15,count_SN14 > 1,1,¿Quiere añadir otra persona?,,,
,note,p16,count_SN15 > 1,,**Persona 16**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P16,count_SN15 > 1,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P16,count_SN15 > 1,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P16,count_SN15 > 1,,¿Cuál es la edad en años cumplidos de esta persona?,,,
mc_vertical answer_below_label,select_one educacion,educ_P16,count_SN15 > 1,,¿Cuál es el nivel educativo más alto alcanzado por esta persona?,,,
mc_vertical answer_below_label,select_one pais,pais_P16,count_SN15 > 1,,¿En qué país nació?,,,
mc_vertical answer_below_label,select_one region,region_P16,count_SN15 > 1,,¿En qué región reside?,,,
mc_vertical answer_below_label,mc comuna_1,comuna_P16_1,region_P16==1,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_2,comuna_P16_2,region_P16==2,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_3,comuna_P16_3,region_P16==3,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_4,comuna_P16_4,region_P16==4,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_5,comuna_P16_5,region_P16==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P16_6,region_P16==6,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_7,comuna_P16_7,region_P16==7,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_8,comuna_P16_8,region_P16==8,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_9,comuna_P16_9,region_P16==9,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_10,comuna_P16_10,region_P16==10,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_11,comuna_P16_11,region_P16==11,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_12,comuna_P16_12,region_P16==12,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_13,comuna_P16_13,region_P16==13,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_14,comuna_P16_14,region_P16==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P16_15,region_P16==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P16_16,region_P16==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P16,count_SN15 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P16_esp,vinculo_P16 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P16,count_SN15 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P16,count_SN15 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P16_esp,"cuidado_P16==7| cuidado_P16 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P16,count_SN15 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P16,count_SN15 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
,submit,persona17,,,Siguiente,,,
counter space_bottom_60,"number 1,21",count_SN16,count_SN15 > 1,1,¿Quiere añadir otra persona?,,,
,note,p17,count_SN16 > 1,,**Persona 17**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P17,count_SN16 > 1,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P17,count_SN16 > 1,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P17,count_SN16 > 1,,¿Cuál es la edad en años cumplidos de esta persona?,,,
mc_vertical answer_below_label,select_one educacion,educ_P17,count_SN16 > 1,,¿Cuál es el nivel educativo más alto alcanzado por esta persona?,,,
mc_vertical answer_below_label,select_one pais,pais_P17,count_SN16 > 1,,¿En qué país nació?,,,
mc_vertical answer_below_label,select_one region,region_P17,count_SN16 > 1,,¿En qué región reside?,,,
mc_vertical answer_below_label,mc comuna_1,comuna_P17_1,region_P17==1,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_2,comuna_P17_2,region_P17==2,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_3,comuna_P17_3,region_P17==3,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_4,comuna_P17_4,region_P17==4,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_5,comuna_P17_5,region_P17==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P17_6,region_P17==6,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_7,comuna_P17_7,region_P17==7,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_8,comuna_P17_8,region_P17==8,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_9,comuna_P17_9,region_P17==9,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_10,comuna_P17_10,region_P17==10,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_11,comuna_P17_11,region_P17==11,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_12,comuna_P17_12,region_P17==12,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_13,comuna_P17_13,region_P17==13,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_14,comuna_P17_14,region_P17==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P17_15,region_P17==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P17_16,region_P17==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P17,count_SN16 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P17_esp,vinculo_P17 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P17,count_SN16 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P17,count_SN16 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P17_esp,"cuidado_P17==7| cuidado_P17 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P17,count_SN16 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P17,count_SN16 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
,submit,persona18,,,Siguiente,,,
counter space_bottom_60,"number 1,21",count_SN17,count_SN16> 1,1,¿Quiere añadir otra persona?,,,
,note,p18,count_SN17 > 1,,**Persona 18**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P18,count_SN17 > 1,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P18,count_SN17 > 1,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P18,count_SN17 > 1,,¿Cuál es la edad en años cumplidos de esta persona?,,,
mc_vertical answer_below_label,select_one educacion,educ_P18,count_SN17 > 1,,¿Cuál es el nivel educativo más alto alcanzado por esta persona?,,,
mc_vertical answer_below_label,select_one pais,pais_P18,count_SN17 > 1,,¿En qué país nació?,,,
mc_vertical answer_below_label,select_one region,region_P18,count_SN17 > 1,,¿En qué región reside?,,,
mc_vertical answer_below_label,mc comuna_1,comuna_P18_1,region_P18==1,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_2,comuna_P18_2,region_P18==2,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_3,comuna_P18_3,region_P18==3,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_4,comuna_P18_4,region_P18==4,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_5,comuna_P18_5,region_P18==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P18_6,region_P18==6,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_7,comuna_P18_7,region_P18==7,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_8,comuna_P18_8,region_P18==8,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_9,comuna_P18_9,region_P18==9,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_10,comuna_P18_10,region_P18==10,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_11,comuna_P18_11,region_P18==11,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_12,comuna_P18_12,region_P18==12,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_13,comuna_P18_13,region_P18==13,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_14,comuna_P18_14,region_P18==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P18_15,region_P18==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P18_16,region_P18==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P18,count_SN17 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P18_esp,vinculo_P18 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P18,count_SN17 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P18,count_SN17 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P18_esp,"cuidado_P18==7| cuidado_P18 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P18,count_SN17 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P18,count_SN17 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
,submit,persona19,,,Siguiente,,,
counter space_bottom_60,"number 1,21",count_SN18,count_SN17 > 1,1,¿Quiere añadir otra persona?,,,
,note,p19,count_SN18 > 1,,**Persona 19**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P19,count_SN18 > 1,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P19,count_SN18 > 1,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P19,count_SN18 > 1,,¿Cuál es la edad en años cumplidos de esta persona?,,,
mc_vertical answer_below_label,select_one educacion,educ_P19,count_SN18 > 1,,¿Cuál es el nivel educativo más alto alcanzado por esta persona?,,,
mc_vertical answer_below_label,select_one pais,pais_P19,count_SN18 > 1,,¿En qué país nació?,,,
mc_vertical answer_below_label,select_one region,region_P19,count_SN18 > 1,,¿En qué región reside?,,,
mc_vertical answer_below_label,mc comuna_1,comuna_P19_1,region_P19==1,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_2,comuna_P19_2,region_P19==2,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_3,comuna_P19_3,region_P19==3,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_4,comuna_P19_4,region_P19==4,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_5,comuna_P19_5,region_P19==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P19_6,region_P19==6,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_7,comuna_P19_7,region_P19==7,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_8,comuna_P19_8,region_P19==8,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_9,comuna_P19_9,region_P19==9,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_10,comuna_P19_10,region_P19==10,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_11,comuna_P19_11,region_P19==11,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_12,comuna_P19_12,region_P19==12,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_13,comuna_P19_13,region_P19==13,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_14,comuna_P19_14,region_P19==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P19_15,region_P19==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P19_16,region_P19==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P19,count_SN18 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P19_esp,vinculo_P19 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P19,count_SN18 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P19,count_SN18 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P19_esp,"cuidado_P19==7| cuidado_P19 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P19,count_SN18 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P19,count_SN18 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
,submit,persona20,,,Siguiente,,,
counter space_bottom_60,"number 1,21",count_SN19,count_SN18 > 1,1,¿Quiere añadir otra persona?,,,
,note,p20,count_SN19 > 1,,**Persona 20**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P20,count_SN19 > 1,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P20,count_SN19 > 1,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P20,count_SN19 > 1,,¿Cuál es la edad en años cumplidos de esta persona?,,,
mc_vertical answer_below_label,select_one educacion,educ_P20,count_SN19 > 1,,¿Cuál es el nivel educativo más alto alcanzado por esta persona?,,,
mc_vertical answer_below_label,select_one pais,pais_P20,count_SN19 > 1,,¿En qué país nació?,,,
mc_vertical answer_below_label,select_one region,region_P20,count_SN19 > 1,,¿En qué región reside?,,,
mc_vertical answer_below_label,mc comuna_1,comuna_P20_1,region_P20==1,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_2,comuna_P20_2,region_P20==2,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_3,comuna_P20_3,region_P20==3,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_4,comuna_P20_4,region_P20==4,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_5,comuna_P20_5,region_P20==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P20_6,region_P20==6,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_7,comuna_P20_7,region_P20==7,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_8,comuna_P20_8,region_P20==8,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_9,comuna_P20_9,region_P20==9,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_10,comuna_P20_10,region_P20==10,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_11,comuna_P20_11,region_P20==11,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_12,comuna_P20_12,region_P20==12,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_13,comuna_P20_13,region_P20==13,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_14,comuna_P20_14,region_P20==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P20_15,region_P20==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P20_16,region_P20==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P20,count_SN19 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P20_esp,vinculo_P20 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P20,count_SN19 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P20,count_SN19 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P20_esp,"cuidado_P20==7| cuidado_P20 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P20,count_SN19 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P20,count_SN19 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
counter space_bottom_60,"number 1,21",count_SN,count_SN19 > 1,1,¿Quiere añadir otra persona?,,,
,note  ,maximum_listed,count_SN19 > 1,,Ya ha añadido 20 personas a su lista. Ya no podrá usar el botón + para añadir más personas.,,,
left700,submit,submit_1,,,Continuar,,,
